loss,categorical_accuracy,val_loss,val_categorical_accuracy
[0.90543133020401],[0.6785592436790466],[3.526824951171875],[0.4847077429294586]
[0.731931209564209],[0.7378199100494385],[1.284572958946228],[0.7003484964370728]
[0.6595213413238525],[0.7623885869979858],[0.8403818011283875],[0.7557104825973511]
[0.6119155883789062],[0.781573474407196],[1.5854554176330566],[0.6337592005729675]
[0.5831916332244873],[0.7916208505630493],[0.7208559513092041],[0.7828107476234436]
[0.5550928711891174],[0.804208517074585],[0.6736117005348206],[0.8017809391021729]
[0.5299088954925537],[0.8119810223579407],[0.6266481280326843],[0.8118467330932617]
[0.5100144147872925],[0.8156208395957947],[0.6493908762931824],[0.8083624243736267]
[0.490266352891922],[0.8223317265510559],[0.5957908034324646],[0.8188153505325317]
[0.46597129106521606],[0.8322653770446777],[0.6767825484275818],[0.798683762550354]
[0.4526485502719879],[0.8389383554458618],[0.5711991786956787],[0.8106852769851685]
[0.4374185800552368],[0.8439431190490723],[0.6484875082969666],[0.802168071269989]
[0.42098096013069153],[0.8482275009155273],[0.5495215654373169],[0.8242354393005371]
[0.40543612837791443],[0.8549383878707886],[0.6319655776023865],[0.8250097036361694]
[0.39542919397354126],[0.8578578233718872],[0.6627565026283264],[0.81649249792099]
[0.37294623255729675],[0.8670331835746765],[0.5856033563613892],[0.8312040567398071]
[0.3743419051170349],[0.8646066188812256],[0.5506501197814941],[0.8397213220596313]
[0.35182422399520874],[0.8757156133651733],[0.5555567741394043],[0.8373984098434448]
[0.3503313362598419],[0.8723791241645813],[0.5609475374221802],[0.8432056307792664]
[0.3379095494747162],[0.8789004683494568],[0.5725265741348267],[0.8397213220596313]
[0.3287351727485657],[0.8799241781234741],[0.5567155480384827],[0.8505613803863525]
[0.32188209891319275],[0.8848909735679626],[0.5700839161872864],[0.8354626893997192]
[0.31093353033065796],[0.8888720273971558],[0.6029608249664307],[0.8385598659515381]
[0.30865544080734253],[0.8882274627685547],[0.5552780032157898],[0.8463028073310852]
[0.29495689272880554],[0.8960758447647095],[0.5515908002853394],[0.8513357043266296]
[0.2930321991443634],[0.8953174948692322],[0.6400505900382996],[0.8315911889076233]
[0.28011757135391235],[0.9006255865097046],[0.5880926847457886],[0.8412699103355408]
[0.2755458354949951],[0.9022938013076782],[0.6116340160369873],[0.8296554684638977]
[0.2704373002052307],[0.9029762744903564],[0.5736943483352661],[0.8501742482185364]
[0.2718706429004669],[0.9023696780204773],[0.5159870386123657],[0.8559814691543579]
[0.26239824295043945],[0.9058957099914551],[0.5545435547828674],[0.8517228364944458]
[0.2477111518383026],[0.9112417101860046],[0.5411516427993774],[0.8586915135383606]
[0.2486945539712906],[0.910142183303833],[0.5781291723251343],[0.8528842926025391]
[0.24406486749649048],[0.9129857420921326],[0.5718588829040527],[0.8524971604347229]
[0.24080923199653625],[0.9124928712844849],[0.5485946536064148],[0.8536585569381714]
[0.226399764418602],[0.9173838496208191],[0.5686799883842468],[0.86024010181427]
[0.23083145916461945],[0.917687177658081],[0.6035647392272949],[0.8559814691543579]
[0.23093834519386292],[0.9175355434417725],[0.618541955947876],[0.8548200130462646]
[0.22244837880134583],[0.9206066131591797],[0.6264839172363281],[0.8555943369865417]
[0.2170221507549286],[0.9218198657035828],[0.6598860025405884],[0.8501742482185364]
[0.216920405626297],[0.9233365058898926],[0.5858029723167419],[0.86024010181427]
[0.2126319706439972],[0.922805666923523],[0.6121763586997986],[0.8586915135383606]
[0.21240943670272827],[0.9243601560592651],[0.5587143301963806],[0.8660472631454468]
[0.20124699175357819],[0.9290615916252136],[0.5820552110671997],[0.8598529100418091]
[0.2015576809644699],[0.9277345538139343],[0.5600121021270752],[0.8679829835891724]
[0.19828006625175476],[0.9295165538787842],[0.5711964964866638],[0.8644986748695374]
[0.19358514249324799],[0.9328530430793762],[0.5603234767913818],[0.8714673519134521]
[0.18923157453536987],[0.9328530430793762],[0.5803486704826355],[0.8641115427017212]
[0.18360888957977295],[0.9323601722717285],[0.5528970956802368],[0.8633372783660889]
[0.18584102392196655],[0.9332701563835144],[0.5700971484184265],[0.8555943369865417]
[0.18182823061943054],[0.9335355162620544],[0.5865005254745483],[0.8586915135383606]
[0.17743100225925446],[0.9364170432090759],[0.5728974342346191],[0.8648858666419983]
[0.17811113595962524],[0.937933623790741],[0.6081289052963257],[0.8575300574302673]
[0.17532561719417572],[0.9374028444290161],[0.566105306148529],[0.8691444396972656]
[0.16553063690662384],[0.9401705861091614],[0.6217793822288513],[0.8614014983177185]
[0.16907791793346405],[0.9400189518928528],[0.5748177170753479],[0.8695315718650818]
[0.17026512324810028],[0.9405497312545776],[0.5950058102607727],[0.8648858666419983]
[0.16502568125724792],[0.9405497312545776],[0.6227715015411377],[0.8594657778739929]
[0.16836272180080414],[0.9405497312545776],[0.5789927244186401],[0.8641115427017212]
[0.161238431930542],[0.942218005657196],[0.5745072960853577],[0.86720871925354]
[0.15847161412239075],[0.9447203874588013],[0.6428350210189819],[0.8668215870857239]
[0.16492101550102234],[0.9429383873939514],[0.6593955159187317],[0.8644986748695374]
[0.15348242223262787],[0.9478293657302856],[0.6075092554092407],[0.8583043217658997]
[0.15390676259994507],[0.9443791508674622],[0.6212628483772278],[0.8606272339820862]
[0.1556437760591507],[0.9452511668205261],[0.5944818258285522],[0.8644986748695374]
[0.153620645403862],[0.9471848011016846],[0.6307379007339478],[0.8571429252624512]
[0.15030591189861298],[0.9476398229598999],[0.598092794418335],[0.8617886900901794]
[0.14448927342891693],[0.9495734572410583],[0.5980489253997803],[0.8668215870857239]
[0.14649774134159088],[0.9506350755691528],[0.621156632900238],[0.8703058958053589]
[0.14264005422592163],[0.9493080377578735],[0.6279663443565369],[0.8652729988098145]
[0.13670364022254944],[0.9519620537757874],[0.5843272805213928],[0.8679829835891724]
[0.1434583067893982],[0.9508246183395386],[0.6585540771484375],[0.8668215870857239]
[0.14255471527576447],[0.9502938389778137],[0.6504010558128357],[0.8575300574302673]
[0.13498231768608093],[0.9535924196243286],[0.6229225993156433],[0.86720871925354]
[0.1342347115278244],[0.952796220779419],[0.6341939568519592],[0.8668215870857239]
[0.13674020767211914],[0.9526824355125427],[0.6695289015769958],[0.8652729988098145]
[0.13506659865379333],[0.952492892742157],[0.6751359701156616],[0.8648858666419983]
[0.13751879334449768],[0.9530236721038818],[0.5992820858955383],[0.870693027973175]
[0.12935109436511993],[0.9539715647697449],[0.6367528438568115],[0.8617886900901794]
[0.13563188910484314],[0.9532132744789124],[0.6601001620292664],[0.8614014983177185]
[0.12973597645759583],[0.9560568332672119],[0.6386628150939941],[0.8633372783660889]
[0.1239510253071785],[0.9557155966758728],[0.6466200947761536],[0.8648858666419983]
[0.12731270492076874],[0.956132709980011],[0.6326871514320374],[0.8691444396972656]
[0.12262175977230072],[0.9575355052947998],[0.6371457576751709],[0.8703058958053589]
[0.12129395455121994],[0.9573838710784912],[0.6416299939155579],[0.8660472631454468]
[0.11939362436532974],[0.9582558870315552],[0.751937210559845],[0.8540457487106323]
[0.12150722742080688],[0.957952618598938],[0.7044627666473389],[0.8544328808784485]
[0.12070631980895996],[0.9578009247779846],[0.624528706073761],[0.8691444396972656]
[0.12369892746210098],[0.9571184515953064],[0.6772558689117432],[0.8617886900901794]
